panel_rule,vertical,entity,mentions,panel_observations,coverage,prominence,breadth,gci,geometric,arithmetic,harmonic,weighted,rank_gci,rank_coverage,abs_rank_shift
recency,saude,Rede D'Or,4,13594,0.00029424746211563924,0.56375,0.4,0.04048428038155424,0.04048428038155424,0.32134808248737184,0.0008816336743663543,0.20111404847726938,51,57,6
recency,saude,NotreDame Intermédica,10,13594,0.0007356186552890981,0.4455,0.2,0.04031903658176461,0.04031903658176461,0.21541187288509636,0.0021951572842923315,0.14181637119317347,52,53,1
recency,saude,Roche,24,13594,0.0017654847726938355,0.18083333333333332,0.2,0.03996908012166442,0.03996908012166442,0.1275329393686757,0.0051997878017983595,0.07626762419694963,53,46,7
recency,varejo,Target,8,13652,0.0005859947260474656,0.43500000000000005,0.2,0.03707982308159616,0.03707982308159616,0.21186199824201588,0.0017504971478968885,0.1391015968356285,54,56,2
recency,fintech,CloudWalk,11,13673,0.0008045052292839903,0.30363636363636365,0.2,0.03655702812712359,0.03655702812712359,0.16814695628854923,0.002397519213651982,0.10639179404666131,55,52,3
recency,varejo,Grupo Boticário,4,13652,0.0002929973630237328,0.43374999999999997,0.2,0.029402058119571167,0.029402058119571167,0.21134766578767458,0.0008771146382934265,0.13861329841781422,56,58,2
recency,tecnologia,Tivit,8,13497,0.0005927243091057272,0.21000000000000002,0.2,0.029198957311879613,0.029198957311879613,0.13686424143636858,0.0017679433977486783,0.08285563458546344,57,55,2
recency,tecnologia,TCS,9,13497,0.0006668148477439431,0.1711111111111111,0.2,0.02836424031125749,0.02836424031125749,0.12392597531961835,0.0019860830887747614,0.07317786668642415,58,54,4
recency,tecnologia,Sinqia,2,13497,0.0001481810772764318,0.375,0.2,0.022316084835189553,0.022316084835189553,0.19171606035909217,0.0004440387793867331,0.12383890864636586,59,59,0
recency,fintech,Stone Co,1,13673,7.31368390258173e-05,0.505,0.2,0.019475376099807117,0.019475376099807117,0.2350243789463419,0.00021929856305159378,0.1562938821034155,60,66,6
recency,varejo,Petz,1,13652,7.32493407559332e-05,0.35,0.2,0.017243837443488674,0.017243837443488674,0.18335774978025196,0.0002196216233175415,0.11754394960445355,61,63,2
recency,fintech,Dock,2,13673,0.0001462736780516346,0.1725,0.2,0.01715253940221781,0.01715253940221781,0.12421542455935054,0.00043812908298736307,0.07321276420683098,62,60,2
recency,fintech,Wise,2,13673,0.0001462736780516346,0.11499999999999999,0.2,0.014984123342397113,0.014984123342397113,0.10504875789268388,0.0004379436956735606,0.05883776420683098,63,61,2
recency,tecnologia,Salesforce,1,13497,7.40905386382159e-05,0.10999999999999999,0.2,0.011768699604528931,0.011768699604528931,0.10335803017954608,0.00022203980568152762,0.05754445432318293,64,62,2
recency,varejo,Riachuelo,1,13652,7.32493407559332e-05,0.10499999999999998,0.2,0.011543592970531999,0.011543592970531999,0.10169108311358531,0.0002195144896984986,0.05629394960445355,65,64,1
recency,varejo,Netshoes,1,13652,7.32493407559332e-05,0.07499999999999996,0.2,0.01031885856407444,0.01031885856407444,0.0916910831135853,0.00021945331740264807,0.048793949604453546,66,65,1
